队名,队员号,出场次数,首发次数,上场时间,投篮命中率,投篮命中次数,投篮出手次数,三分命中率,三分命中次数,三分出手次数,罚球命中率,罚球命中次数,罚球出手次数,篮板总数,前场篮板,后场篮板,助攻,抢断,盖帽,失误,犯规,得分
1,9,66,43,24.7,42.700,2.9,6.7,27.500,0.3,1,56.000,0.8,1.5,3.5,1.1,2.4,2.1,1.1,0.3,0.9,1,6.9
1,10,11,0,10.9,40.800,1.8,4.5,60.000,0.5,0.9,87.500,0.6,0.7,0.9,0.2,0.7,2.6,0.4,0.2,1.3,1.8,4.8
1,11,66,2,14.7,50.600,1.2,2.4,,0,0,45.600,0.7,1.6,5.3,1.9,3.4,0.5,0.5,1,1,1.8,3.1
1,12,42,0,8.5,40.500,0.8,1.9,18.200,0,0.3,76.800,1,1.3,1.3,0.5,0.8,0.3,0.3,0.1,0.3,0.5,2.6
1,13,28,0,4.4,46.700,0.5,1.1,14.300,0,0.3,50.000,0.1,0.2,0.8,0.3,0.5,0.5,0.2,0.2,0.3,0.3,1.1
2,0,75,75,38.7,42.600,6.2,14.6,32.200,1,3.1,81.600,3.1,3.8,6.3,2.2,4.2,3,1.1,0.4,1.9,1.4,16.5
2,1,79,79,32.3,47.700,6.9,14.4,0.000,0,0,73.100,2.4,3.3,9.8,2.2,7.5,2.3,0.8,0.4,2.2,3,16.2
2,2,82,23,25.5,43.300,4.9,11.2,40.500,1.7,4.2,79.900,1.6,2.1,2.2,0.4,1.9,4.4,1,0.1,1.8,2.5,13.1
2,3,66,64,36.7,48.100,4.6,9.5,0.000,0,0.1,75.100,2.7,3.6,11.1,3.9,7.2,4,1.2,2.1,2.7,2.8,11.9
2,4,50,45,21.8,42.900,4.1,9.5,30.800,0.3,1,85.700,1.3,1.5,1.7,0.3,1.3,2.4,0.5,0.1,1.7,1.9,9.8
2,5,73,27,25.8,39.500,3.3,8.4,35.700,1.1,3,83.900,1.9,2.3,1.9,0.2,1.7,2,0.6,0.1,1.1,1.9,9.6
2,6,82,20,26,46.700,2.9,6.2,38.100,0.5,1.3,80.300,2.3,2.8,4,1.7,2.3,1.4,1,0.4,0.8,1.2,8.6
2,7,65,5,22.5,48.500,3.3,6.8,0.000,0,0.1,67.900,1.4,2,5.3,1.9,3.4,0.9,0.4,1.4,1.2,2.6,8
2,8,60,60,29.4,37.700,2.7,7,39.000,1.2,3,71.400,1.2,1.6,2.6,0.3,2.4,5.2,1.1,0.4,1.7,3.2,7.7
2,9,63,12,11,36.700,1,2.9,0.000,0,0,72.300,0.5,0.7,3.1,1.2,1.9,0.4,0.3,0.5,0.4,1.5,2.6
2,10,33,0,8.3,27.800,0.9,3.3,24.600,0.5,1.8,77.800,0.2,0.3,1.3,0.1,1.2,0.3,0.1,0.2,0.3,0.4,2.5
2,11,48,0,8.2,38.100,0.9,2.4,17.400,0.1,0.5,56.300,0.2,0.3,0.9,0.1,0.9,1.3,0.2,0.1,0.7,1,2.1
2,12,7,0,5,55.600,0.7,1.3,,0,0,50.000,0.3,0.6,1.6,0.7,0.9,0.3,0.3,0.1,0.3,1,1.7
2,13,25,0,5.6,30.200,0.5,1.7,18.500,0.2,1.1,66.700,0.1,0.1,1.1,0.4,0.7,0.3,0.3,0.2,0.3,1.2,1.3
2,14,1,0,2,0.000,0,1,,0,0,,0,0,1,1,0,0,0,0,0,0,0
3,0,23,23,37.5,45.200,7,15.4,27.400,0.7,2.7,81.500,4.4,5.4,6.9,1.7,5.1,3.7,1,0.2,2.6,2.3,19
3,1,10,10,31.1,35.400,5.8,16.4,34.000,1.6,4.7,84.400,2.7,3.2,3.2,0.9,2.3,4.3,0.5,0.1,3.4,1.5,15.9
3,2,61,9,30.5,41.900,4.8,11.4,41.100,2.2,5.3,88.200,3.2,3.6,2.1,0.2,1.8,5,0.9,0,1.9,2.3,14.9
3,3,76,76,28.2,45.600,5.9,12.9,0.000,0,0,76.700,1.9,2.5,8.3,1.8,6.5,1.6,0.7,0.3,2,2.8,13.7
3,4,67,67,38.7,39.700,4.1,10.3,28.300,1,3.6,76.900,3.9,5,4.9,1.3,3.6,2.6,1.9,0.5,1.5,1.6,13.1
3,5,82,8,28.7,47.900,5.2,10.9,0.000,0,0.1,75.100,2.6,3.4,6.8,2.4,4.4,1.1,0.5,1.4,1.8,2.5,13
3,6,80,80,35.2,47.500,4.8,10,0.000,0,0,73.700,3.1,4.2,11.3,3.5,7.7,5.4,1.2,1.5,2.4,3.1,12.6
3,7,82,61,31.5,43.000,4.1,9.4,38.000,1.5,4,85.400,1.7,2,4.2,0.6,3.6,2.3,0.8,0.6,1.3,2,11.3
3,8,73,61,29,39.300,3.3,8.5,35.100,1.2,3.3,76.000,1.3,1.7,2.6,0.4,2.2,3.9,1.1,0.4,1.6,2.8,9.1
3,9,77,12,16,38.400,1.7,4.4,32.000,0.7,2.3,75.600,0.4,0.5,1.6,0.2,1.4,0.9,0.4,0.2,0.6,1.1,4.5
3,10,8,0,7,44.800,1.6,3.6,36.400,0.5,1.4,100.000,0.3,0.3,0.9,0.1,0.8,0.4,0,0,0.5,0.9,4
3,11,6,0,8,62.500,0.8,1.3,60.000,0.5,0.8,50.000,0.3,0.7,0.8,0.2,0.7,0.3,0.2,0,0.2,0.5,2.5
3,12,19,2,12.6,24.200,0.8,3.5,20.000,0.1,0.5,68.800,0.6,0.8,1,0.1,0.9,1.5,0.1,0.2,0.9,1.3,2.4
3,13,80,1,7,42.900,0.7,1.6,,0,0,53.300,0.2,0.4,2.2,0.8,1.4,0.3,0.2,0.4,0.5,1,1.6
3,14,11,0,7,23.800,0.5,1.9,20.000,0.1,0.5,0.000,0,0.2,0.6,0,0.6,1.5,0.2,0,0.5,1,1
3,15,9,0,1.9,50.000,0.2,0.4,,0,0,,0,0,0.2,0,0.2,0.2,0.1,0,0.1,0.2,0.4
3,16,24,0,2.5,23.100,0.1,0.5,0.000,0,0.1,,0,0,0.3,0.1,0.3,0.1,0,0.2,0.1,0.3,0.3
3,17,1,0,2,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0
3,18,1,0,1,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,19,1,0,2,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
4,0,65,65,38.7,46.200,6.5,14,37.800,1.1,3,83.400,5.9,7.1,5.8,1.8,4.1,3.3,1.8,0.6,1.4,1.7,20
4,1,78,78,34.4,49.400,7.3,14.8,46.200,0.2,0.3,80.300,3.8,4.7,11.8,2.8,9,2.7,0.3,1.9,2,1.9,18.5
4,2,51,51,30,40.500,6.6,16.4,28.000,1.5,5.3,81.300,3,3.7,3.2,0.7,2.5,4.9,0.7,0.3,3.2,1.2,17.7
4,3,82,21,23,42.100,4.2,10,38.700,1.5,3.8,83.300,1.8,2.1,2,0.4,1.6,3.2,0.7,0.2,1.9,2.3,11.6
4,4,62,17,27.3,50.200,4.1,8.2,,0,0,71.700,2.1,3,6.4,2.6,3.8,1.1,0.6,1.2,1.2,2.6,10.3
4,5,82,3,20.2,40.500,3.1,7.6,31.600,1.2,3.8,80.300,2.8,3.5,4.9,0.8,4.2,1.2,0.7,0.7,1.1,2.1,10.2
4,6,63,63,29.2,43.500,3.3,7.6,40.700,1.7,4.2,80.500,1.1,1.4,3.9,0.4,3.5,1.8,0.6,0.3,1,2,9.4
4,7,67,67,30.6,44.500,2.8,6.4,0.000,0,0,60.300,1.6,2.6,9.6,3.3,6.4,4.7,0.7,1.1,1.8,3,7.2
4,8,72,22,19.6,42.900,2.2,5.2,37.100,1,2.7,80.000,0.6,0.8,2.4,0.4,2,0.9,0.4,0.2,0.7,1.2,6
4,9,66,22,24.4,37.300,2.2,5.8,34.500,0.9,2.5,70.000,0.5,0.8,1.8,0.3,1.5,2.2,0.7,0.2,1.1,2.2,5.7
4,10,36,0,8.9,40.200,1.2,3,31.700,0.4,1.1,66.700,0.3,0.4,1.2,0.2,1,0.2,0.1,0,0.5,0.8,3
4,11,56,0,8.9,44.600,1.1,2.5,34.200,0.2,0.7,60.000,0.2,0.4,0.8,0.2,0.6,0.6,0.4,0.1,0.3,0.8,2.7
4,12,23,0,5.7,43.300,0.6,1.3,,0,0,33.300,0,0.1,1.7,0.5,1.2,0.1,0.2,0.2,0.3,0.7,1.2
4,13,18,1,3.7,21.400,0.2,0.8,,0,0,80.000,0.2,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.6
5,0,67,67,36.9,45.400,7,15.4,31.200,1,3.1,83.200,5.9,7.1,5.3,1.2,4.2,4.8,1.6,0.6,2,1.9,20.9
5,1,72,72,31.9,46.900,6.5,13.8,34.800,0.3,1,79.200,3.2,4,11,2.2,8.9,4.1,0.6,2,2.3,2.1,16.5
5,2,66,66,31.7,42.700,6.8,15.9,29.300,0.7,2.3,79.300,2.2,2.7,3.4,0.7,2.7,4.7,0.7,0.2,2.7,1.3,16.4
5,3,66,38,25,40.700,3.8,9.2,39.000,2,5.2,80.700,2.2,2.7,5.5,0.9,4.6,1.5,0.9,0.7,1.5,2.3,11.8
5,4,81,4,23,45.200,3.6,8,42.500,1.4,3.2,85.700,0.9,1,2.4,0.5,2,0.7,0.2,0.1,0.7,1.6,9.4
5,5,73,55,26.5,52.600,3.6,6.8,0.000,0,0,69.200,1.4,2,6.9,2.8,4.1,1.5,0.6,1.1,1.1,2.5,8.6
5,6,59,22,21.4,48.100,3.2,6.6,45.200,0.8,1.8,62.900,0.4,0.6,2.3,0.3,1.9,1.7,0.6,0.3,0.9,1.7,7.5
5,7,31,30,22.6,41.000,2.5,6.1,39.400,1.3,3.2,78.400,0.9,1.2,2.7,0.3,2.4,1.3,0.5,0.3,0.8,2.1,7.2
5,8,69,0,16.1,40.100,2.7,6.8,35.700,1,2.7,76.600,0.7,0.9,1.5,0.3,1.2,2.6,0.4,0.1,1.2,1.9,7.1
5,9,62,4,17.8,42.700,3,7,30.800,0.3,0.8,72.700,0.8,1.1,5.4,2,3.5,0.8,0.4,0.4,0.9,1.6,7
5,10,27,4,18.8,41.300,2.4,5.7,43.300,1,2.2,81.500,0.8,1,2.3,0.3,2,1.7,0.7,0.6,1,1.5,6.5
5,11,64,33,20.3,37.200,2,5.3,36.100,0.9,2.4,90.900,0.5,0.5,3.1,0.3,2.8,1,0.3,0.3,0.8,1.6,5.3
5,12,29,2,21.9,38.300,1.8,4.6,0.000,0,0,48.900,0.8,1.6,8.8,3,5.8,3.8,0.6,1,1.8,2.7,4.3
5,13,35,7,15.9,39.800,1.3,3.4,41.100,0.7,1.6,93.800,0.4,0.5,1.7,0.2,1.5,1.7,0.4,0,0.8,1.8,3.8
5,14,31,4,10.3,55.600,1.3,2.3,0.000,0,0.1,71.400,0.8,1.1,3.3,1,2.3,0.8,0.2,0.4,0.4,1,3.4
5,15,18,2,5.7,32.500,0.7,2.2,20.000,0.1,0.3,87.500,0.4,0.4,1.6,0.2,1.3,0.3,0.1,0.2,0.2,1.1,1.9
6,0,76,75,36.9,45.500,7.5,16.5,36.700,1.2,3.3,86.500,7.7,8.9,6.2,1.7,4.5,5.5,1.9,0.4,2.1,1.5,23.9
6,1,60,59,29.9,43.400,6.9,15.9,31.000,0.8,2.4,79.400,3.7,4.7,4.5,1.1,3.5,3.8,1.4,0.7,2.3,1.9,18.3
6,2,55,55,27.4,52.100,5,9.6,16.700,0,0.2,71.400,1.5,2.2,6.9,2.2,4.8,1.1,0.5,0.9,1.4,2.2,11.6
6,3,70,15,24,41.300,3.7,8.9,34.200,1.8,5.4,77.300,1.4,1.8,5.5,0.9,4.6,1.1,0.8,0.8,1.1,1.8,10.6
6,4,81,81,28.1,49.300,4.7,9.6,0.000,0,0,72.100,0.9,1.3,6.4,3,3.4,1,0.2,1.4,1.1,1.9,10.4
6,5,44,4,24.5,44.500,3.8,8.5,37.300,1.3,3.4,88.100,1.3,1.5,3,0.3,2.6,1,0.3,0.1,0.7,1.3,10.2
6,6,69,42,26.7,40.800,3.3,8.1,37.600,0.7,1.9,60.000,0.4,0.7,5.1,1.1,4.1,6.7,1.4,0.2,2.4,2.1,7.8
6,7,64,13,15.7,48.800,2.9,5.9,33.300,0.5,1.5,66.100,0.6,0.9,4.6,1.2,3.5,0.5,0.3,0.2,0.6,1.5,6.8
6,8,45,19,18.8,36.600,2.5,6.8,23.400,0.3,1.4,75.300,1.3,1.7,3.4,0.5,2.9,2.5,0.8,0.5,1.5,2.3,6.6
6,9,63,28,16.3,42.500,2,4.8,36.600,0.8,2.1,89.000,1,1.2,1.8,0.3,1.5,1.9,0.7,0.1,0.7,1.5,5.9
6,10,44,18,19.1,39.800,2,5,33.300,0.8,2.3,77.500,0.7,0.9,2.8,0.3,2.5,0.8,0.3,0.4,0.9,1.8,5.5
6,11,57,0,17.1,35.400,1.8,5.1,35.100,1.3,3.6,77.800,0.2,0.3,2.6,0.2,2.5,1.1,0.5,0.1,0.9,1.5,5.1
6,12,11,0,13.1,33.300,1.9,5.7,32.400,1,3.1,25.000,0.1,0.4,1.5,0.1,1.5,1.4,0.4,0,1.2,1.3,4.9
6,13,66,0,15.7,57.900,1.9,3.3,,0,0,64.500,0.9,1.4,4.7,1.9,2.8,0.6,0.4,0.3,0.5,1.7,4.8
6,14,39,0,15.2,36.400,1.6,4.4,26.600,0.6,2.4,90.900,0.8,0.8,1.3,0.2,1.1,0.9,0.6,0,0.5,0.9,4.6
6,15,9,0,9.7,41.400,1.3,3.2,42.900,0.7,1.6,100.000,1.2,1.2,0.2,0.1,0.1,0.7,0.2,0,0,0.4,4.6
6,16,20,1,12.2,40.200,1.9,4.6,30.000,0.3,1,60.000,0.5,0.8,3.4,1.1,2.4,1,0.4,0,0.8,0.6,4.5
6,17,3,0,3.3,0.000,0,0.3,0.000,0,0.3,,0,0,0.3,0,0.3,0,0,0,0,0,0
7,0,56,38,32.9,42.700,6.7,15.6,34.600,1.6,4.7,73.100,3.1,4.2,6.7,1.5,5.2,1.7,0.9,0.5,1.4,2.4,18
7,1,15,9,25.3,42.100,5,11.9,41.400,2.4,5.8,81.500,1.5,1.8,2.4,0.4,2,6.1,1.1,0.4,2.6,1.9,13.9
7,2,80,66,28.2,45.800,5.4,11.7,0.000,0,0.1,67.300,3.1,4.6,8.7,2.7,6,1.1,0.6,0.7,2.2,2.7,13.8
7,3,81,38,26.3,46.600,4.5,9.6,20.000,0,0.2,82.300,4.3,5.2,3.1,0.6,2.6,5.2,0.7,0.1,2.2,1.1,13.3
7,4,36,34,29.6,38.500,4.9,12.8,26.500,1,3.8,83.300,2.4,2.8,2.7,0.4,2.3,7.1,0.9,0.3,2.9,2.5,13.3
7,5,67,15,27.8,40.000,3.9,9.9,40.300,1.8,4.4,82.200,2,2.4,2.6,0.4,2.3,3,0.7,0.3,1.2,2.3,11.6
7,6,31,31,32.1,52.800,3.7,7,0.000,0,0.1,66.700,1.7,2.6,9.7,3.2,6.5,1.5,0.9,1.2,1.3,2.8,9.1
7,7,72,65,29,39.900,3.1,7.7,37.900,1.2,3.2,77.900,1,1.3,3,0.5,2.6,3,0.9,0.1,1.1,1.5,8.3
7,8,37,10,18.9,45.600,3,6.5,0.000,0,0.1,61.800,1.8,3,4.3,2,2.2,0.5,0.4,0.5,1.4,2.4,7.8
7,9,40,29,24.3,46.200,2.7,5.9,34.700,0.4,1.2,80.000,1.6,2,3.9,1.2,2.7,0.8,0.8,0.4,1.1,2,7.4
7,10,44,18,21.5,42.500,3,7,27.500,0.6,2.1,64.300,0.4,0.6,2.8,0.6,2.2,0.8,0.8,0.6,1.1,1.8,6.9
7,11,21,0,19,37.800,2.4,6.4,25.000,0.7,2.7,77.800,0.7,0.9,4.2,1.1,3.1,1,0.5,0.5,0.5,2.1,6.2
7,12,54,15,17.3,37.400,2,5.4,37.000,0.6,1.7,76.300,1.3,1.7,2.6,0.7,1.9,1.6,0.6,0.1,1.2,1.2,5.9
7,13,70,16,16.9,59.800,1.9,3.1,,0,0,68.100,1.6,2.3,2.7,1,1.7,0.4,0.3,0.6,1,2.8,5.3
7,14,39,8,15,45.800,2.1,4.6,30.000,0.2,0.8,80.600,0.7,0.9,2.2,0.2,1.9,0.5,0.2,0.2,0.7,1.9,5.2
7,15,14,3,13.4,49.200,2.1,4.2,,0,0,46.200,0.9,1.9,2.7,1.1,1.6,0.1,0.5,0.2,0.4,1.4,5
7,16,40,13,19.1,40.200,1.9,4.7,28.400,0.7,2.4,90.900,0.3,0.3,3,0.4,2.6,1.1,0.6,0.7,0.4,1,4.7
7,17,26,1,15,32.500,1.6,4.8,28.900,0.5,1.7,75.000,0.3,0.5,1.8,0.3,1.6,0.8,0.3,0.1,0.6,1.3,4
7,18,4,1,16,28.600,1,3.5,,0,0,83.300,1.3,1.5,2.8,1.5,1.3,0.3,0.5,0.8,0.5,3,3.3
8,0,51,51,30.5,46.900,6.9,14.6,39.900,1.4,3.6,87.200,3.4,3.8,3.7,0.9,2.9,5.4,1.1,0.4,3.1,2.2,18.5
8,1,65,65,33.1,40.300,6.5,16.1,34.100,1.4,4.1,68.300,2.8,4.2,6.3,1.9,4.4,2,0.8,0.7,1.4,2.5,17.2
8,2,13,0,24.2,39.100,4.5,11.6,24.600,1.2,4.7,84.200,2.5,2.9,3.5,0.5,3,2.7,1.1,0.2,2.3,2,12.7
8,3,25,25,31.4,51.400,4.6,8.9,0.000,0,0.2,67.200,1.7,2.6,11.5,4.4,7.1,1.7,1.4,0.7,1.8,2.5,10.8
8,4,63,31,29,41.200,3.6,8.7,32.100,0.7,2.2,78.800,2.7,3.4,5.1,1.6,3.5,1.8,1.3,0.3,1.8,2.4,10.6
8,5,41,4,24.5,39.800,3.4,8.6,41.900,0.6,1.5,83.000,3,3.6,3.1,0.5,2.6,5.2,0.7,0,2,1.5,10.5
8,6,60,25,23.7,43.900,3.2,7.4,0.000,0,0,55.200,1.8,3.2,6.5,3.1,3.4,0.5,0.5,1,1.4,2.2,8.2
8,7,35,7,26.2,35.100,2.5,7.1,39.600,1.6,4,79.100,1,1.2,2.9,0.3,2.6,2.2,0.7,0.5,1.3,2,7.5
8,8,51,51,25.1,43.300,2.8,6.4,36.200,1,2.7,62.500,0.7,1.1,2.7,0.2,2.5,2.4,0.7,0.1,1,1.3,7.2
8,9,65,35,20.6,40.300,2.6,6.3,31.500,0.8,2.6,68.500,1.1,1.7,3.5,1,2.5,1,0.6,0.3,1,1.8,7.1
8,10,26,5,17.5,40.000,2.3,5.8,33.300,0.5,1.4,69.500,1.6,2.3,2.7,0.4,2.3,1.2,0.5,0.2,1,1.1,6.7
8,11,25,11,24.3,40.300,2.8,7,9.100,0.1,0.9,80.800,0.8,1,2.4,0.6,1.8,3.7,0.4,0.1,1.7,1.3,6.6
8,12,2,0,29.5,41.700,2.5,6,50.000,1,2,0.000,0,1,3.5,0.5,3,1.5,1,0,1.5,3.5,6
8,13,54,0,15.3,45.500,1.9,4.3,,0,0,70.100,1.5,2.2,3.3,1.2,2.2,0.4,0.4,0.4,1,2.1,5.4
8,14,24,7,15.1,50.000,1.2,2.3,,0,0,60.000,1.4,2.3,2.3,1,1.3,0.3,0.2,0.5,1,2.3,3.7
8,15,5,3,19,29.200,1.4,4.8,36.400,0.8,2.2,,0,0,1,0,1,1.4,0.4,0.2,1,1.6,3.6
8,16,28,9,11.9,52.700,1.4,2.6,,0,0,51.200,0.8,1.5,2.6,0.7,1.9,0.3,0.4,0.2,0.6,2.1,3.5
8,17,21,1,11,35.400,1.1,3.1,23.800,0.2,1,75.000,0.4,0.6,2.5,1,1.6,0.3,0.3,0.1,0.2,0.8,2.9
8,18,21,0,14.2,35.300,0.9,2.4,43.800,0.3,0.8,,0,0,1.7,0.3,1.3,1.4,0.1,0,1.2,1.5,2
8,19,2,0,6.5,40.000,1,2.5,,0,0,,0,0,2,1,1,1,0.5,0,0,0.5,2
8,20,6,0,13.8,15.800,0.5,3.2,50.000,0.2,0.3,33.300,0.3,1,2,0.5,1.5,0.7,0.5,0.7,0.3,1.2,1.5
9,0,59,59,34.7,45.200,8.2,18.1,39.100,1.8,4.7,85.500,4.2,4.9,3.7,0.6,3.1,5.9,1.5,0.4,3.2,2.5,22.5
9,1,61,48,28.8,41.200,5.5,13.4,31.000,1,3.3,74.600,2.6,3.5,2.4,0.4,2.1,3,1,0.3,2,1.9,14.7
9,2,25,25,36,47.800,5.5,11.6,0.000,0,0.2,75.500,3.1,4.1,14.4,5.5,8.9,3.4,1.5,0.6,1.8,2.7,14.1
9,3,82,82,31.3,48.800,4.8,9.7,0.000,0,0,60.800,2.2,3.5,9.4,3.7,5.7,1.3,0.7,0.9,1.5,2.9,11.7
9,4,65,13,21,41.500,3.9,9.4,38.400,1.9,5,86.900,1.4,1.6,2.7,0.4,2.3,1,0.8,0.3,1.1,2.1,11.2
9,5,38,17,25.9,43.900,3.8,8.7,37.100,1.4,3.8,89.800,1.4,1.6,3,0.5,2.5,1.6,0.8,0.1,0.9,1.1,10.4
9,6,82,82,31,41.000,3.7,9.1,31.500,0.8,2.7,79.500,2,2.5,3.9,0.9,3,1.6,1.3,0.4,1.6,2.4,10.3
9,7,39,1,18.4,45.700,3.9,8.6,20.000,0,0.1,80.600,2.2,2.8,5.1,1.8,3.3,0.7,0.4,0.7,1.2,2.3,10.2
9,8,77,55,26.3,43.800,3.2,7.3,0.000,0,0.1,76.400,1.6,2,5.7,2.1,3.6,1.2,0.5,0.9,1.2,3.3,7.9
9,9,25,11,18,40.100,3,7.5,31.600,0.7,2.3,68.300,1.1,1.6,1.3,0.3,1,2.6,0.5,0.1,1.5,1.3,7.8
9,10,49,12,23.1,50.700,2.9,5.7,0.000,0,0,84.300,1.4,1.7,2.5,0.6,1.9,3.6,0.8,0.6,1.2,2.1,7.2
9,11,46,3,20.1,34.000,1.8,5.4,34.400,1.2,3.5,70.300,0.6,0.8,1.3,0.1,1.2,1.8,0.7,0.1,0.7,1.9,5.4
9,12,20,0,12.9,34.600,1.4,3.9,36.800,0.4,1,80.000,1,1.3,1.4,0.2,1.3,1.9,0.3,0,0.7,0.9,4.1
9,13,43,1,11.7,39.400,1.5,3.7,32.900,0.6,1.8,53.700,0.5,1,2.7,0.5,2.2,0.7,0.6,0.3,0.5,1,4
9,14,50,0,17.1,39.200,1.4,3.6,29.900,0.4,1.3,50.000,0.2,0.4,2.9,0.8,2.1,3.3,0.8,0.3,1.2,2,3.4
9,15,18,1,10.8,36.700,1.2,3.3,0.000,0,0.1,58.300,0.8,1.3,1.6,0.6,1,0.4,0.2,0.2,0.3,1.7,3.2
9,16,32,0,10.4,40.200,1.3,3.3,,0,0,60.000,0.3,0.5,2.4,1.2,1.3,0.3,0.3,0.2,0.3,0.8,3
9,17,9,0,10.1,35.700,1.1,3.1,0.000,0,0.3,33.300,0.2,0.7,1.4,0.6,0.9,0.6,0.2,0,0.6,1.2,2.4
9,18,7,0,11.3,25.000,0.6,2.3,0.000,0,0.7,100.000,0.3,0.3,0.3,0.1,0.1,1.3,0.4,0,0.9,0.6,1.4
10,0,71,71,35.2,43.000,7.5,17.4,35.800,1.7,4.8,86.100,4.1,4.8,3.6,0.7,2.9,6.1,1.5,0.3,2.7,2.3,20.8
10,1,70,24,29.6,43.300,6.1,14.2,36.800,1.3,3.6,68.500,2.3,3.4,2.8,0.5,2.3,3,0.9,0.2,2.2,2.2,15.9
10,2,40,40,33.8,41.700,5.3,12.7,31.500,1,3.2,77.100,2.8,3.6,5.1,1.5,3.6,2.5,1,0.1,1.4,1.5,14.3
10,3,27,25,29.8,46.800,5.1,11,44.800,1.7,3.9,78.400,1.5,1.9,7.7,1.6,6.1,2.4,0.5,1,2,3.1,13.5
10,4,82,82,31.6,47.700,4.4,9.3,0.000,0,0,69.300,2.9,4.1,9.2,3.3,5.9,0.9,0.5,0.4,1.3,2.3,11.7
